"id_evento";"id_igreja";"dia";"mes";"ord";"dia_semana";"hora_inicio";"minuto_inicio";"hora_fim";"minuto_fim";"id_tipoevento";"id_usuario";"observacao";"last_modified"
29344;198484;0;0;0;0;9;0;-1;-1;1;2;"";"2013-08-12 16:56:08"
29345;198484;0;0;0;2;18;0;-1;-1;1;2;"";"2013-08-12 16:56:08"
29346;198484;0;0;0;0;8;30;-1;-1;2;2;"";"2013-08-12 16:56:08"
29347;198484;0;0;0;2;18;30;-1;-1;2;2;"";"2013-08-12 16:56:08"
29348;198492;0;0;0;0;9;0;-1;-1;1;2;"(Bilingual)";"2013-08-12 16:56:58"
29349;198492;0;0;0;3;17;30;-1;-1;1;2;"";"2013-08-12 16:56:58"
29350;198492;0;0;0;5;17;30;-1;-1;1;2;"";"2013-08-12 16:56:58"
29351;198492;0;0;0;0;8;0;-1;-1;2;2;"";"2013-08-12 16:56:58"
29352;198511;0;0;0;0;11;0;-1;-1;1;2;"(English)";"2013-08-12 16:58:52"
29353;198494;0;0;0;0;9;0;-1;-1;1;2;"";"2013-08-12 17:00:12"
29354;198494;0;0;0;0;11;0;-1;-1;1;2;"";"2013-08-12 17:00:12"
29355;198494;0;0;0;6;18;0;-1;-1;1;2;"";"2013-08-12 17:00:12"
29356;198494;0;0;0;2;17;30;18;0;2;2;"(Convent)";"2013-08-12 17:00:12"
29357;198494;0;0;0;3;17;30;18;0;2;2;"(Convent)";"2013-08-12 17:00:12"
29358;198494;0;0;0;4;17;30;18;0;2;2;"(Convent)";"2013-08-12 17:00:12"
29359;198494;0;0;0;5;17;30;18;0;2;2;"(Convent)";"2013-08-12 17:00:12"
29360;198494;0;0;0;6;17;0;18;0;2;2;"(Church)";"2013-08-12 17:00:12"
29361;198493;0;0;0;0;13;0;-1;-1;1;2;"(Español)";"2013-08-12 17:00:40"
29362;198489;0;0;0;0;8;0;-1;-1;1;2;"(Español)";"2013-08-12 17:02:22"
29363;198489;0;0;0;0;10;0;-1;-1;1;2;"(English)";"2013-08-12 17:02:22"
29364;198489;0;0;0;1;18;0;-1;-1;1;2;"";"2013-08-12 17:02:22"
29365;198489;0;0;0;2;18;0;-1;-1;1;2;"";"2013-08-12 17:02:22"
29366;198489;0;0;0;3;18;0;-1;-1;1;2;"";"2013-08-12 17:02:22"
29367;198489;0;0;0;4;18;0;-1;-1;1;2;"";"2013-08-12 17:02:22"
29368;198489;0;0;0;5;18;0;-1;-1;1;2;"";"2013-08-12 17:02:22"
29369;198489;0;0;0;6;18;0;-1;-1;1;2;"(English)";"2013-08-12 17:02:22"
29370;198489;0;0;0;0;7;30;-1;-1;2;2;"(Español)";"2013-08-12 17:02:22"
29371;198489;0;0;0;0;10;30;-1;-1;2;2;"(English)";"2013-08-12 17:02:22"
29372;198489;0;0;0;1;17;30;-1;-1;2;2;"";"2013-08-12 17:02:22"
29373;198489;0;0;0;2;17;30;-1;-1;2;2;"";"2013-08-12 17:02:22"
29374;198489;0;0;0;3;17;30;-1;-1;2;2;"";"2013-08-12 17:02:22"
29375;198489;0;0;0;4;17;30;-1;-1;2;2;"";"2013-08-12 17:02:22"
29376;198489;0;0;0;5;17;30;-1;-1;2;2;"";"2013-08-12 17:02:22"
29377;198489;0;0;0;6;17;30;-1;-1;2;2;"(English)";"2013-08-12 17:02:22"
29378;198474;0;0;0;0;7;0;-1;-1;1;2;"(Español)";"2013-08-12 17:05:02"
29379;198474;0;0;0;0;9;0;-1;-1;1;2;"(English)";"2013-08-12 17:05:02"
29380;198474;0;0;0;0;11;0;-1;-1;1;2;"(Español)";"2013-08-12 17:05:02"
29381;198474;0;0;0;1;7;0;-1;-1;1;2;"";"2013-08-12 17:05:02"
29382;198474;0;0;0;2;7;0;-1;-1;1;2;"";"2013-08-12 17:05:02"
29383;198474;0;0;0;3;7;0;-1;-1;1;2;"";"2013-08-12 17:05:02"
29384;198474;0;0;0;4;19;0;-1;-1;1;2;"";"2013-08-12 17:05:02"
29385;198474;0;0;0;5;19;0;-1;-1;1;2;"";"2013-08-12 17:05:02"
29386;198474;0;0;0;6;18;0;-1;-1;1;2;"";"2013-08-12 17:05:02"
29387;198474;0;0;0;6;8;0;-1;-1;1;2;"";"2013-08-12 17:05:02"
29388;198474;0;0;0;1;6;30;-1;-1;2;2;"";"2013-08-12 17:05:02"
29389;198474;0;0;0;2;6;30;-1;-1;2;2;"";"2013-08-12 17:05:02"
29390;198474;0;0;0;3;6;30;-1;-1;2;2;"";"2013-08-12 17:05:02"
29391;198474;0;0;0;4;18;30;-1;-1;2;2;"";"2013-08-12 17:05:02"
29392;198474;0;0;0;5;18;30;-1;-1;2;2;"";"2013-08-12 17:05:02"
29393;198474;0;0;0;6;16;45;17;45;2;2;"";"2013-08-12 17:05:02"
29394;198512;0;0;0;0;8;0;-1;-1;1;2;"";"2013-08-12 17:06:08"
29395;198512;0;0;0;0;12;0;-1;-1;1;2;"";"2013-08-12 17:06:08"
29396;198512;0;0;0;2;18;30;-1;-1;1;2;"";"2013-08-12 17:06:08"
29397;198512;0;0;0;4;18;30;-1;-1;1;2;"";"2013-08-12 17:06:08"
29398;198512;0;0;0;6;18;30;-1;-1;1;2;"";"2013-08-12 17:06:08"
29399;198512;0;0;0;0;7;30;-1;-1;2;2;"";"2013-08-12 17:06:08"
29400;198512;0;0;0;0;11;30;-1;-1;2;2;"";"2013-08-12 17:06:08"
29401;198512;0;0;0;2;18;0;-1;-1;2;2;"";"2013-08-12 17:06:08"
29402;198512;0;0;0;4;18;0;-1;-1;2;2;"";"2013-08-12 17:06:08"
29403;198512;0;0;0;6;18;0;-1;-1;2;2;"";"2013-08-12 17:06:08"
29404;198481;0;0;0;0;8;30;-1;-1;1;2;"(English)";"2013-08-12 17:07:09"
29405;198481;0;0;0;6;18;30;-1;-1;1;2;"(Spanish)";"2013-08-12 17:07:09"
29406;198481;0;0;0;0;7;45;8;15;2;2;"(English or Spanish)";"2013-08-12 17:07:09"
29407;198481;0;0;0;6;17;30;18;45;2;2;"(English or Spanish)";"2013-08-12 17:07:09"
29408;198509;0;0;0;0;17;0;-1;-1;1;2;"(Español)";"2013-08-12 17:07:35"
29409;198509;0;0;0;0;16;30;-1;-1;2;2;"";"2013-08-12 17:07:35"
29410;198488;0;0;0;0;8;0;-1;-1;1;2;"(English)";"2013-08-12 17:09:50"
29411;198488;0;0;0;0;11;0;-1;-1;1;2;"(English)";"2013-08-12 17:09:50"
29412;198488;0;0;0;1;7;0;-1;-1;1;2;"(Español)";"2013-08-12 17:09:50"
29413;198488;0;0;0;1;18;0;-1;-1;1;2;"(English)";"2013-08-12 17:09:50"
29414;198488;0;0;0;2;7;0;-1;-1;1;2;"(Español)";"2013-08-12 17:09:50"
29415;198488;0;0;0;2;12;15;-1;-1;1;2;"(English)";"2013-08-12 17:09:50"
29416;198488;0;0;0;3;7;0;-1;-1;1;2;"(Español)";"2013-08-12 17:09:50"
29417;198488;0;0;0;3;18;0;-1;-1;1;2;"(English)";"2013-08-12 17:09:50"
29418;198488;0;0;0;4;7;0;-1;-1;1;2;"(Español)";"2013-08-12 17:09:50"
29419;198488;0;0;0;4;12;15;-1;-1;1;2;"(English)";"2013-08-12 17:09:50"
29420;198488;0;0;0;5;7;0;-1;-1;1;2;"(Español)";"2013-08-12 17:09:50"
29421;198488;0;0;0;5;18;0;-1;-1;1;2;"(English)";"2013-08-12 17:09:50"
29422;198488;0;0;0;6;18;0;-1;-1;1;2;"(Español)";"2013-08-12 17:09:50"
29423;198488;0;0;0;6;7;0;-1;-1;1;2;"(Español)";"2013-08-12 17:09:50"
29424;198483;0;0;0;0;11;0;-1;-1;1;2;"";"2013-08-12 17:11:29"
29425;198483;0;0;0;0;18;0;-1;-1;1;2;"";"2013-08-12 17:11:29"
29426;198483;0;0;0;1;7;30;-1;-1;1;2;"";"2013-08-12 17:11:29"
29427;198483;0;0;0;3;7;0;-1;-1;1;2;"";"2013-08-12 17:11:29"
29428;198483;0;0;0;4;18;0;-1;-1;1;2;"";"2013-08-12 17:11:29"
29429;198483;0;0;0;5;7;30;-1;-1;1;2;"";"2013-08-12 17:11:29"
29430;198483;0;0;0;6;18;0;-1;-1;1;2;"(Español)";"2013-08-12 17:11:29"
29431;198483;0;0;0;4;18;30;-1;-1;2;2;"";"2013-08-12 17:11:29"
29432;198483;0;0;0;6;17;30;-1;-1;2;2;"";"2013-08-12 17:11:29"
29433;198482;0;0;0;0;9;30;-1;-1;1;2;"";"2013-08-12 17:12:07"
29434;198482;0;0;0;0;9;0;-1;-1;2;2;"";"2013-08-12 17:12:07"
29435;198482;0;0;0;0;10;30;-1;-1;2;2;"";"2013-08-12 17:12:07"
29436;198510;0;0;0;0;8;0;-1;-1;1;2;"(English or Spanish)";"2013-08-12 17:12:37"
29437;198485;0;0;0;0;8;0;-1;-1;1;2;"";"2013-08-12 17:13:22"
29438;198485;0;0;0;0;12;0;-1;-1;1;2;"";"2013-08-12 17:13:22"
29439;198485;0;0;0;2;18;0;-1;-1;1;2;"";"2013-08-12 17:13:22"
29440;198485;0;0;0;4;18;0;-1;-1;1;2;"";"2013-08-12 17:13:22"
29441;198485;0;0;0;6;18;0;-1;-1;1;2;"";"2013-08-12 17:13:22"
29442;198485;0;0;0;2;17;30;-1;-1;2;2;"";"2013-08-12 17:13:22"
29443;198485;0;0;0;4;17;30;-1;-1;2;2;"";"2013-08-12 17:13:22"
29444;198485;0;0;0;6;17;30;-1;-1;2;2;"";"2013-08-12 17:13:22"
29445;198486;0;0;0;0;8;0;-1;-1;1;2;"(Español)";"2013-08-12 17:15:44"
29446;198486;0;0;0;0;13;0;-1;-1;1;2;"(English)";"2013-08-12 17:15:44"
29447;198486;0;0;0;0;17;0;-1;-1;1;2;"(Español)";"2013-08-12 17:15:44"
29448;198486;0;0;0;1;18;0;-1;-1;1;2;"(Español)";"2013-08-12 17:15:44"
29449;198486;0;0;0;2;18;0;-1;-1;1;2;"(Español)";"2013-08-12 17:15:44"
29450;198486;0;0;0;3;18;0;-1;-1;1;2;"(Español)";"2013-08-12 17:15:44"
29451;198486;0;0;0;4;18;0;-1;-1;1;2;"(Español)";"2013-08-12 17:15:44"
29452;198486;0;0;0;5;18;0;-1;-1;1;2;"(Español)";"2013-08-12 17:15:44"
29453;198486;0;0;0;6;17;0;-1;-1;1;2;"(English)";"2013-08-12 17:15:44"
29454;198486;0;0;0;4;16;30;18;0;2;2;"(English &amp; Spanish)";"2013-08-12 17:15:44"
29455;198471;0;0;0;0;8;0;-1;-1;1;2;"(Español)";"2013-08-12 17:17:47"
29456;198471;0;0;0;0;10;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29457;198471;0;0;0;0;12;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29458;198471;0;0;0;0;17;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29459;198471;0;0;0;1;7;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29460;198471;0;0;0;1;18;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29461;198471;0;0;0;2;7;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29462;198471;0;0;0;2;18;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29463;198471;0;0;0;3;7;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29464;198471;0;0;0;3;18;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29465;198471;0;0;0;4;7;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29466;198471;0;0;0;4;18;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29467;198471;0;0;0;5;7;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29468;198471;0;0;0;5;18;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29469;198471;0;0;0;6;18;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29470;198471;0;0;1;6;9;0;-1;-1;1;2;"";"2013-08-12 17:17:47"
29471;198471;0;0;0;6;16;30;17;30;2;2;"";"2013-08-12 17:17:47"
29472;198480;0;0;0;0;9;0;-1;-1;1;2;"(Español)";"2013-08-12 17:20:30"
29473;198480;0;0;0;0;11;0;-1;-1;1;2;"(English)";"2013-08-12 17:20:30"
29474;198480;0;0;0;1;8;0;-1;-1;1;2;"(Español)";"2013-08-12 17:20:30"
29475;198480;0;0;0;2;8;0;-1;-1;1;2;"(Español)";"2013-08-12 17:20:30"
29476;198480;0;0;0;4;8;0;-1;-1;1;2;"(Español)";"2013-08-12 17:20:30"
29477;198480;0;0;0;4;9;30;-1;-1;1;2;"(St. Peter Memorial School Mass)";"2013-08-12 17:20:30"
29478;198480;0;0;0;5;8;0;-1;-1;1;2;"(Español)";"2013-08-12 17:20:30"
29479;198480;0;0;0;6;18;30;-1;-1;1;2;"(English)";"2013-08-12 17:20:30"
29480;198480;0;0;0;6;16;0;17;0;2;2;"";"2013-08-12 17:20:30"
